Body Mass (g),Clutch Completion,Comments,Culmen Depth (mm),Culmen Length (mm),Date Egg,Delta 13 C (o/oo),Delta 15 N (o/oo),Flipper Length (mm),Individual ID,Island,Region,Sample Number,Sex,Species,Stage,studyName
4200.0,No,,13.9,45.5,11/9/08,-26.61788,8.47829,210.0,N11A1,Biscoe,Anvers,47,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4650.0,No,,13.7,40.9,11/27/07,-25.3933,8.19579,214.0,N36A1,Biscoe,Anvers,11,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
5300.0,Yes,,14.2,51.3,11/20/09,-26.3433,8.15426,218.0,N13A2,Biscoe,Anvers,88,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0910
5650.0,Yes,,15.0,47.8,11/29/07,-25.48383,7.92358,215.0,N46A2,Biscoe,Anvers,28,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
5050.0,Yes,,15.8,46.3,11/27/07,-25.38157,7.90971,215.0,N42A2,Biscoe,Anvers,24,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
4650.0,No,Nest never observed with full clutch. Not enough blood for isotopes.,19.1,39.8,11/13/07,,,184.0,N25A2,Dream,Anvers,40,MALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3900.0,Yes,,17.5,41.1,11/13/09,-26.06943,8.94365,190.0,N77A2,Dream,Anvers,136,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3800.0,No,,19.0,49.5,11/25/08,-24.34684,9.63074,200.0,N61A2,Dream,Anvers,28,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0809
3700.0,Yes,,18.6,41.4,11/9/08,-26.27853,8.35396,191.0,N23A2,Biscoe,Anvers,56,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
3725.0,Yes,,17.0,40.7,11/16/09,-25.79529,9.05674,190.0,N81A2,Dream,Anvers,144,MALE,Adelie,"Adult, 1 Egg Stage",PAL0910
3150.0,No,Nest never observed with full clutch.,18.6,37.9,11/10/07,-25.19837,8.38404,172.0,N18A1,Biscoe,Anvers,29,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0708
3700.0,Yes,,17.1,36.0,11/17/09,-26.07081,8.93465,187.0,N85A1,Dream,Anvers,151,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0910
5550.0,Yes,,15.0,50.7,11/13/08,-26.74249,8.63551,223.0,N53A2,Biscoe,Anvers,70,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3250.0,Yes,,18.7,51.5,11/23/09,-24.43062,9.6895,187.0,N88A1,Dream,Anvers,49,MALE,Chinstrap,"Adult, 1 Egg Stage",PAL0910
6050.0,Yes,,17.0,59.6,12/3/07,-25.6821,7.76843,230.0,N56A2,Biscoe,Anvers,34,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
2850.0,Yes,,17.1,36.4,11/13/08,-26.1165,8.62623,184.0,N29A1,Biscoe,Anvers,65,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5700.0,No,,16.0,49.6,11/4/08,-26.84272,8.38324,225.0,N6A2,Biscoe,Anvers,42,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4400.0,Yes,,13.9,45.7,11/13/08,-26.60484,8.6287,214.0,N19A1,Biscoe,Anvers,63,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
3550.0,Yes,,18.0,35.7,11/14/08,-26.05621,8.46531,202.0,N45A1,Dream,Anvers,91,FEMALE,Adelie,"Adult, 1 Egg Stage",PAL0809
4750.0,Yes,,15.0,47.7,11/3/08,-26.72751,8.53018,216.0,N54A1,Biscoe,Anvers,71,FEMALE,Gentoo,"Adult, 1 Egg Stage",PAL0809
4700.0,Yes,,17.6,42.9,11/2/08,-26.23027,8.63259,196.0,N39A2,Torgersen,Anvers,82,MALE,Adelie,"Adult, 1 Egg Stage",PAL0809
5150.0,Yes,,15.4,46.8,11/27/07,-25.38017,8.1631,215.0,N35A2,Biscoe,Anvers,10,MALE,Gentoo,"Adult, 1 Egg Stage",PAL0708
